number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
518,自成系統、段落，自為一組基本單位。[例]這個教學單元是專為初學者而設計的，你可要用心的學習。,單元,自成系統和段落，構成一個基本單位。,"A unit or module that is self-contained and organized within a system, serving as a basic building block.",在這個教學單元中，我們將學習如何製作簡單的美食。 / 為了幫助學生更好地理解，這個課程單元設計了多種互動活動。 / 這個學習單元的重點是提高學生的口語表達能力。 / 這個單元的設計旨在激發學生的創造力和想像力，鼓勵他們勇於表達自己。 / 老師特別安排了一次實地考察，讓學生在實踐中深入了解這個單元的主題。 / 這本書的每個單元都提供了不同的故事和主題，讓讀者可以隨意選擇。,n,教學單元 / 課程單元 / 學習單元 / 評量單元 / 活動單元 / 劇情單元,旨
519,負擔的責任。[例]由於雙親早逝，他獨力挑起扶養弟妹的擔子。,擔子,扁擔是兩端掛著用來挑運物品的器具，後來引申為所挑的物品、責任或工作。,A pole or rod with a load balanced at both ends; also refers to the load being carried.A burden or responsibility that one must bear.,當他的父母都忙於工作時，他不得不承擔起照顧祖父的擔子。 / 社會的擔子漸漸落在年輕一代的肩上，他們需要承擔更多的責任。 / 他獨自挑起了家庭的經濟擔子，讓弟妹能夠安心讀書。 / 對於一名教師而言，教育下一代的擔子是沉重但光榮的。 / 這份工作的擔子雖然艱辛，但他卻從中找到了無比的成就感。 / 在村裡傳統的節日裡，大家一起挑著擔子，載著美食和歡樂，準備慶祝活動。,n,家庭的擔子 / 成年人的擔子 / 社會的擔子 / 經濟擔子 / 挑擔子 / 學習的擔子,"運, 言, 落在, 扁擔, 引申, 挑, 從中, 挑擔"
520,量詞：(1)計算娛樂節目演出期間的單位。[例]作了三檔秀　(2)計算事物、事件的單位。相當於「碼」、「件」。[例]為了這檔事，我四處奔波，可真累壞了！,檔,量詞：用來計算娛樂節目演出期間的單位。也用來計算事物或事件的數量，類似於「碼」或「件」。,"A measure word: (1) A unit for counting the performance duration of entertainment programs. (2) A unit for counting matters or events, equivalent to ""items"" or ""cases.""",這檔比賽吸引了許多運動愛好者前來參加。 / 在新年期間，電視上播出了幾檔特別節目，讓人們感受到節日的氣氛。 / 這檔專案需要更多的人力資源，以確保按時完成。 / 這檔新劇的首播吸引了眾多粉絲，大家都在討論劇情。 / 這檔音樂會的票數量有限，因此大家都提前預訂。 / 這檔電影的上映時間正好在暑假，吸引了許多家庭前來觀看。,m,ㄧ檔比賽 / 一檔演出 / 一檔工作 / 一檔節目 / 一檔電影 / 一檔活動,"量詞, 劇, 播"
520,分類保存的文件或資料。[例]查檔、入檔、檔案,檔,分類保存的文件或資料。,A file or document categorized and preserved for record-keeping or reference.,老師希望學生們將各自的作業檔案整理好，以便下次上課時可以快速找到。 / 我需要查一下我的檔案，看看上一次的會議記錄是否已經入檔。 / 這些舊檔案需要重新評估，因為有些資料已經過時了。 / 公司正在進行檔案數位化的項目，目的是提升資料查詢的效率。 / 我把旅行的照片檔案分類到不同的資料夾，以便日後回顧時更容易找到。 / 每個員工都必須定期更新自己的個人檔案，以確保資訊的準確性和完整性。 / 當我準備報告時，發現需要引用一些過去的檔案資料，因此我到圖書館查找。 / 這份檔案包含了重要的客戶資訊，必須妥善保管，以免洩漏機密。 / 為了提升團隊合作，管理層要求大家共享各自的工作檔案，以便可以更好地協作。 / 我將即將到期的檔案標註為優先處理，以免遺漏重要的任務。 / 在檢查檔案時，我發現有一份合同漏了簽名，需要立即聯繫相關人員處理。,n,查檔 / 入檔 / 檔案夾 / 個人檔 / 電子檔 / 機密檔 / 檔案管理 / 資料檔 / 重要檔 / 研究檔,"標註, 性, 資料檔, 日後, 協作, 電子檔"
520,電影或戲劇節目放映演出的時段。[例]上檔、黃金檔、八點檔,檔,指電影或戲劇表演的時段，通常分為不同時間，如黃金時間。,A time slot for the broadcasting of films or theatrical programs.,最近的八點檔連續劇收視率非常高，吸引了許多觀眾每晚準時收看。 / 明晚將在黃金檔播放一部新電影，大家都期待著這部片子的精彩劇情。 / 我最期待的歷史劇最近終於要上檔了。 / 本週末的晚間檔有一場特別的直播音樂會，讓不少樂迷感到興奮。 / 最近推出的下午檔綜藝節目，因其有趣的互動形式而受到年輕人的喜愛。 / 每當周五的晚間檔播放新劇時，社交媒體上總是充滿了討論和熱評。,n,黃金檔 / 八點檔 / 上檔 / 下檔 / 晚間檔 / 節目檔,"分為, 播, 片子, 樂, 晚間, 明, 因, 黃金檔, 評, 綜藝, 劇, 歷史劇, 收看, 點檔, 收視"
520,汽、機車變速器。[例]排檔、換檔,檔,汽車和機車的變速器中，根據不同的速度和負荷切換的不同檔位。,A gear in a vehicle's transmission system.,我在開車時學會了如何快速換檔，以提高行駛效率。 / 汽車的檔位設計使得駕駛更加平穩，不容易感到震動。 / 他告訴我，駕駛手排檔車需要多加練習，才能熟練掌握技巧。 / 在駕駛課上，教練強調了換檔時要注意引擎的轉速。 / 經過一段時間的練習，我終於可以順暢地在不同檔位之間切換。 / 在上坡的時候，我需要把檔位換到低檔，以便提供更多的動力。,n,排檔 / 換檔 / 自排檔 / 手排檔 / 空檔 / 慢檔,"切換, 坡, 變速器, 空檔, 轉速"
520,貨品的等級或價位。[例]低檔貨、高檔產品,檔,貨品的等級或價錢分類,A classification or range indicating the quality or price of goods.,這家店的產品都是高檔貨，價錢不菲，但品質非常好。 / 最近我發現一間專賣中檔商品的商店，商品設計時尚又划算。 / 雖然這款名牌包包屬於高檔貨，但我仍然希望能找到打折的機會。 / 旅遊時，我喜歡在當地市場挑選一物美價廉的低檔貨 / 最近我發現一個專賣名牌商品的折扣網站，讓我能以更低的價格買到喜歡的東西，真是很棒的檔。 / 這家餐廳的菜單上有三個檔次的料理，讓不同預算的客人都能找到適合的選擇。,n,文件檔 / 低檔貨 / 檔案 / 中檔貨 / 低檔產品 / 特檔,"菲, 專賣, 特, 商, 物美價廉, 高檔"
521,主持、負責。[例]父親長年在外經商，家中事務則由母親當家作主。,當家,主持和負責家中的事務。,To be in charge or to take responsibility for the household.,年輕的嫂嫂剛嫁進來不久，但已經開始負責當家，讓家庭的氣氛變得更加活躍。 / 王阿姨的丈夫一直在外地工作，她就理所當然地當家，這樣能讓丈夫更加專心在工作上。 / 如果我們希望家庭事務運行得更加順利，必須由某個人來當家，否則會造成許多不必要的麻煩。 / 在父母的指導下，我們這一輩人也應該逐漸學會如何當家，承擔起照顧家庭的責任。 / 隨著年輕人逐漸成為家庭的主力，我們需要開始考慮如何讓他們當家，確保家庭的未來穩定。 / 隨著孩子們長大，父母開始逐漸把家中的大小事交給他們當家，讓他們學會負責任。,va-t,負責當家 / 當家作主 / 一人當家 / 長期當家 / 開始當家 / 全權當家,"主, 負責任, 期"
522,因思想、行為、信念等之歧異而形成的派別。[例]樹立黨派，營謀私利，並非國家之福。,黨派,因思想、行為、信念等的不同而形成的社會團體。,"Political factions formed due to differences in ideology, behavior, and beliefs.",在選舉期間，各個黨派會提出不同的政策以吸引選民的支持。 / 在議會中，各黨派的代表常常進行激烈的辯論，以表達他們的立場。 / 為了促進社會和諧，某些黨派開始探索跨黨合作的機會。 / 當前的政治局勢，使得一些黨派不得不重新評估他們的策略和路線。 / 隨著選民的需求變化，許多黨派也開始調整他們的政策主張以迎合民意。 / 在社區活動中，各個黨派都積極參與，努力展示他們的理念與服務。,n,政治黨派 / 黨派領袖 / 各個黨派 / 不同黨派 / 黨派利益 / 黨派關係,"因, 黨"
523,目前。[例]改善交通是當前市府首要的施政目標。,當前,目前的情況或狀態。,Current; Referring to the present time or situation.,在當前的社會中，環保意識越來越受到重視。 / 當前許多科技公司正致力於研發人工智慧技術。 / 對於當前的教育改革，專家提出了多項建議。 / 當前的市場需求促使企業加快產品創新的步伐。 / 當前的政治局勢讓許多國家感到緊張和不安。 / 傳統產業在當前的競爭中需要尋找新的發展方向。,n,當前的情況 / 當前的目標 / 當前的挑戰 / 當前的政策 / 當前的狀況 / 當前的問題,加快
524,即刻、立刻。[例]她見情況不妙，當下轉身就跑。,當下,指的是當前的時間，立刻、即時發生。,Immediate; instantaenous; right away.,當下的情況讓他感到非常緊張，不知該如何應對。 / 當下的決定對於他未來的發展影響很大。 / 看到朋友摔倒，她當下就立刻跑去幫忙。 / 當下的選擇將決定他的人生走向，讓他感到壓力沉重。 / 面對突發狀況，她當下迅速制定了應對計畫，以避免更大的損失。 / 當下的陽光灑在大地上，讓人感到暖融融的。,adv,當下的選擇 / 當下的情況 / 當下的感受 / 當下的決定 / 當下反應 / 當下的想法,"走向, 暖融融, 知, 摔倒"
525,確實、真實。[例]他當真信守諾言，準時赴約。,當真,確實、真實。,Indeed; a phrase used to indicate that something is true or taken seriously.,他的話雖然聽起來很荒謬，但他當真認為自己有能力完成那個不可能的任務。 / 如果你真的當真學習，你會發現中文不難。 / 她開的玩笑如果讓人不當真，那麼氣氛才會輕鬆愉快。 / 老師鼓勵學生把每一次考試都當真對待，以提升自己的實力。 / 雖然他說要參加比賽，但大家都不太相信他會當真，因為他從來沒有認真練習過。 / 他當真相信運動可以提升他的專注力，所以每天都堅持鍛鍊。 / 她對待朋友非常忠誠，任何承諾都會當真遵守。 / 對於這次旅行的計畫，他當真考慮每個細節，確保一切順利進行。 / 我知道你的話半開玩笑，但有些事情還是得當真看待，才能避免麻煩。 / 如果我們都能夠當真對待環保問題，或許可以一起改善這個世界的未來。 / 他當真研究過這個課題，希望能夠發表一篇有影響力的論文。,phrase,當真[對待] / 當真[信任] / 當真[參加] / 當真[做到] / 當真[承諾] / 不要[當真] / 當真[理解] / 當真[面對] / 當真[重視] / 當真[體驗],"力, 玩笑"
525,信以為真。[例]我們只是開個玩笑，沒想到她竟然當真了。,當真,把某件事情看成是真的，不懷疑。,To take something seriously or believe it to be true.,我們只是開玩笑，你怎麼可以當真呢？ / 她告訴我一個奇怪的故事，我本來不想當真，但她的表情看起來很認真。 / 大家都知道那是個玩笑話，沒想到他竟然當真了，真的去行動了。 / 如果有任何不確定的事情，最好不要當真，以免造成誤解。 / 他們的計畫聽起來像是隨意說說，但後來我才知道他們其實當真了，正在準備行動。 / 她只是隨口說說，沒想到他卻當真了，開始準備禮物。,vs-t,不要當真 / 竟然當真 / 可別當真 / 當真對待 / 開玩笑當真 / 一時當真,玩笑話
526,面對著大家、公開。[例]他倆當眾宣布即將結婚的喜訊，讓在場朋友又驚又喜。,當眾,面對著大家，公開地進行某種行為或發表某種言論。,In public; openly facing an audience.,在婚禮上，新郎當眾發表感謝詞，讓每個人都感動不已。 / 他當眾承認自己的錯誤，展現出誠實與勇氣，贏得了大家的尊重。 / 在電影首映禮上，導演當眾感謝所有參與製作的人，表達了自己的感激之情。 / 他在演講比賽中，當眾挑戰傳統觀念，贏得了評委的高度評價。 / 當眾討論社會議題時，許多人積極發言，表達自己的見解和看法。 / 在開學典禮上，校長當眾鼓勵學生們努力學習，追求自己的夢想。,adv,當眾發言 / 當眾道歉 / 當眾批評 / 當眾感謝 / 當眾宣佈 / 當眾演出,"首映, 評委, 禮"
527,竊取或搶奪財物的人。[例]強盜、海盜、江洋大盜,盜,竊取或搶奪他人財物的人。,A robber; a person who steals or plunders.,這個城市的兩起盜竊案引起居民們的擔憂。 / 警方迅速展開調查，以找到這名潛逃的盜竊嫌犯。 / 在電視上看到強盜搶劫的新聞，讓她感到十分震驚。 / 過去幾年，這個地區的海盜活動頻繁，影響到當地的經濟發展。 / 這部電影的情節講述了一位江洋大盜的冒險故事，讓觀眾目不轉睛。 / 每當看到關於盜竊的報導，他都會想起自己曾經失去過的財物。 / 為了應對盜竊問題，商店開始安裝先進的監控系統。 / 在社交媒體上，出現了許多關於個資盜取的警告，讓人倍感不安。 / 專家提醒民眾注意防範網路盜刷的風險，以保護自己的財產。 / 這位藝術品盜竊犯最終被捕，收藏的名畫也得以安全歸還。 / 盜用他人身份進行詐騙的行為，對社會造成了嚴重的影響。,n,強盜 / 盜竊犯 / 盜取財物 / 海盜 / 盜版軟體 / 盜用名義 / 盜竊罪 / 內部盜竊 / 盜取個資 / 江洋大盜,"捕, 個資, 竊嫌, 資江, 洋, 潛逃, 竊案, 盜用, 江洋大, 海盜, 警方, 盜取, 竊取, 財, 盜竊, 內部, 竊盜, 竊, 盜版"
527,用不正當的手段謀取。[例]盜取、盜版、欺世盜名,盜,用不正當的手段取得某物或某種名聲,To obtain or take by unjust means; to steal or embezzle.,若我們不小心點進不明連結，有可能會讓駭客盜取我們的個人資訊。 / 警方加強巡邏，以防止盜竊事件的發生。 / 社交媒體上常常出現盜用他人照片的情況，讓原本的主人感到非常困擾。 / 在電影院裡盜錄電影的行為是違法的，也對電影產業造成了很大的影響。 / 為了保護智慧財產權，各國都在嚴格打擊盜版行為。 / 這家網站提供的盜版軟體可能會讓使用者的電腦面臨安全風險。 / 許多企業開始使用防盜技術，以避免產品被盜取。 / 盜竊犯通常會利用夜晚的黑暗來進行偷竊，提高他們逃避抓捕的機會。 / 盜用信用卡的事件很多，讓許多消費者感到擔心。 / 當發現自己的作品被盜用時，創作者應該立即採取法律行動來維護權益。 / 網路上流傳的盜竊教學視頻，對年輕人造成了不良的引導。 / 近年來，盜取公司機密資料的行為，使得商業競爭變得更加激烈。 / 警方加強對盜竊行為的打擊。 / 許多人因為盜用別人的身份而遭到法律的懲罰。 / 盜版遊戲的流行雖然方便了玩家，但卻對遊戲開發商造成了巨大的損失。 / 為了提高安全性，許多銀行都建立了防止盜竊的系統，保護客戶資金。 / 社區組織定期舉辦防盜宣傳活動，提高居民的警覺性。 / 在一些熱門旅遊景點，盜竊事件頻繁發生，讓遊客感到不安。 / 面對日益嚴重的網路盜竊問題，專家建議使用強密碼來保護個人帳號。 / 盜竊藝術品的案件常常引起媒體的關注，讓人們對文化財產的保護更加重視。 / 在學校裡，有學生因為盜用同學的作業而受到嚴厲的處罰。 / 盜取電力的行為不僅違法，還會對社會造成不必要的負擔。,va-t,盜版軟體 / 盜竊罪行 / 盜取資料 / 盜用他人名義 / 盜竊行為 / 盜用知識 / 盜取賬號 / 盜取財物 / 盜版書籍 / 盜竊罪名,"捕, 駭, 良, 商, 得, 頻, 盜用, 遭, 遊客, 若, 防盜, 財產權, 警方, 盜取, 財, 竊, 盜版, 物, 號"
528,因經營不善或財務虧空而停業。[例]由於經濟不景氣，許多中小企業紛紛倒閉。,倒閉,因經營不善或財務虧空而停止營業。,To close down or cease operations due to poor management or financial losses.,過去一年內，兩三家受到重創的小型企業選擇倒閉，無法繼續經營。 / 由於經營不善，這家公司在經歷多次困難後最終宣告倒閉。 / 在經濟不景氣的情況下，越來越多的公司面臨倒閉的風險，亟需尋找解決方案。 / 最近的報告指出，許多科技新創公司因資金鏈問題而倒閉，影響了年輕人開公司的意願。 / 專家分析了造成倒閉潮的原因，認為市場需求減少是主要因素之一。 / 由於市場競爭激烈，那家開了多年的蛋糕店最終不得不宣告倒閉。,va-i,倒閉的公司 / 面臨倒閉 / 造成倒閉 / 倒閉的風險 / 造成倒閉潮的原因 / 倒閉的商店,"型, 創, 潮, 鏈, 因, 善, 亟需, 虧空"
529,與人告別。[例]同學會結束之後，大家依依不捨的互相道別。,道別,與人告別的行為，通常發生在分開或離開某個地方時。,To bid farewell; to say goodbye.,每次放暑假時，學生們在校門口互相道別，期待下學期再見面。 / 離別的時候，他緊緊握住她的手，深情道別，帶著不安與期待。 / 在工作調職的前一天，同事們都聚在一起，為他舉辦了盛大的道別派對。 / 在去年的畢業典禮上，學生們緊緊相擁道別，還約定將來再見。 / 孩子們在夏令營結束時，難過地道別，期待明年再見面。 / 在老家的最後一天，她在院子裡跟以前的玩伴們道別，心中充滿了回憶和離開的感覺。,vp-i/N,與人道別 / 真心道別 / 當面道別 / 短暫道別 / 互相道別 / 默默道別,"握住, 調職, 相擁, 放暑假, 校門"
530,故意擾亂，或藉故破壞他人做事。[例]這次公司股東會議因為有人搗蛋而無法順利進行。,搗蛋,故意擾亂他人的行為，或藉口破壞他人做事。,To cause trouble or disrupt; to act mischievously.,小孩在公園裡搗蛋，把沙子撒得到處都是。 / 鄰居家的狗老是搗蛋，跑到我家把花弄亂了。 / 有人故意搗蛋，讓活動的進行變得非常混亂。 / 在派對上，有人搗蛋，故意把音樂關掉，氣氛一下子冷卻了。 / 搗蛋的情況在學校裡時有發生，老師們總是想辦法來維持秩序。 / 哥哥常常在家裡搗蛋，把我的玩具亂丟一地。,va-i,搗蛋行為 / 孩子搗蛋 / 故意搗蛋 / 搗蛋鬼 / 搗蛋破壞 / 搗蛋計畫,亂丟
531,先秦時期的一個思想流派。以老子、莊子為代表人物，主張順應自然，無為而治。後亦指崇尚黃帝、老莊之說者。[例]因經長期戰亂，漢代初年採道家思想，無為而治，與民休養生息。,道家,先秦時期的一個思想流派，以老子和莊子為代表，主張尊重自然，主張不妨礙而治理。,"A philosophical school originating in the pre-Qin period, represented by Laozi and Zhuangzi, advocating harmony with nature and non-intervention governance. It later refers to those who revere the teachings of the Yellow Emperor, Laozi, and Zhuangzi.",道家的思想透過無為而治的理念，影響了中國的政治體系。 / 在道家的教義中，自然被視為最重要的法則，人人都應該隨之而行。 / 道家與佛教的相互影響，使得東亞文化中出現了許多獨特的宗教實踐。 / 道家文化強調與自然和諧共處，這在當今環保運動中重新獲得了關注。 / 道家的理念中，隱逸生活被視為理想的境界，許多文人雅士選擇遠離塵囂，回歸自然。 / 道家的思想讓我明白，生活中應該更加尊重自然，避免不必要的干擾。,n,道家思想 / 道家學說 / 道家代表人物 / 道家文化 / 道家經典 / 道家哲學,"秦, 流派, 莊子, 東亞, 遠離, 塵囂, 隱逸, 雅士, 治"
532,戲劇表演、影視攝錄時所使用的器物及場景擺設。[例]為了節省經費，此次演出所需的道具，全由劇團人員自行製作。,道具,戲劇表演或影視攝錄時使用的器物和場景擺設。,Props used in theatrical performances and film productions.,在這次的演出中，所有的道具都是由學生自己製作的。 / 道具與場景的搭配能夠強化故事的主題，讓觀眾有更深的感受。 / 在這部電影中，古老的道具增添了劇情的歷史感和真實性。 / 為了節省預算，製作團隊選擇使用一些自製的道具來替代昂貴的器材。 / 在戲劇課上，學生們學習如何設計與製作道具，以提升他們的表演技能。 / 小朋友們在生日派對上使用了各種有趣的道具來玩遊戲，讓整個派對充滿歡笑。,n,道具製作 / 道具表演 / 道具設計 / 道具與場景 / 自製道具 / 道具箱,"感, 器, 攝, 影視, 道具箱, 自製"
533,刀子鋒利的部分。[例]這把刀的刀刃具有齒痕，較利於切割。,刀刃,刀子鋒利的部分。,The cutting edge of a knife.,刀刃的光滑讓它使用起來更方便。 / 這把刀的刀刃非常鋒利，小心使用以免受傷。 / 老闆的廚刀刀刃經過專業磨利，讓他在做菜時更順手。 / 這把刀的刀刃雖然薄，但卻能輕易切開堅硬的食物。 / 刀刃的角度調整好，可以有效減少在使用時的阻力。 / 在光線下，刀刃閃閃發光，讓人不禁想起廚房裡的種種美味。,n,鋒利的刀刃 / 刀刃的表面 / 平滑的刀刃 / 刀刃的形狀 / 刀刃的角度 / 閃亮的刀刃,"廚刀, 刃, 阻, 平滑"
534,,導入,引入某種事物或概念，使之進入某個環境或系統。,To introduce or bring in; to import or integrate.,這家公司計畫導入AI技術，以提高生產效率。 / 學校希望導入新的教學方法，以激發學生的學習興趣。 / 為了提升競爭力，這個品牌必須導入創新的行銷策略。 / 在會議中，經理提出導入團隊合作的理念，以促進工作效率。 / 在健康管理方面，醫院計畫導入先進的檢測設備，以提高診斷準確性。 / 圖書館決定導入電子書服務，以方便讀者隨時借閱書籍。,vp-t/N,導入技術 / 導入系統 / 導入產品 / 導入觀念 / 導入方法 / 導入流程,"引入, AI, 借閱"
535,奉守道教經典規戒，出世修練道法，而熟悉齋醮祭禱儀式的人。[例]在臺灣民間信仰習俗中，常請道士到法會來超渡亡魂。,道士,專門修行某種信仰的人，通常進行祭祀和祈禱，追求長生或特別能力。,A Taoist priest; a person who practices Taoism and is familiar with its rituals and teachings.,村民們特意邀請道士來進行搬家的安宅儀式。 / 在道士的教導下，我學會了很多古老的儀式。 / 聽說這位道士能幫人消災解厄，村裡的人都願意前來請教。 / 年長的道士告訴年輕人，修道不僅是尋求長生，還要明心見性。 / 一位懂得很多道理的道士，常常在市場上講故事，吸引了不少人來聽。 / 那位道士每天都會在山上打坐，吸收大自然的能量。,n,一位道士 / 超渡亡魂的道士 / 召喚道士 / 道士的法會 / 道士的法器 / 道士的祈禱,"消災, 法, 亡魂, 安宅, 解厄, 明, 修道, 法器, 打坐"
536,指導學生研究學術及擔負訓育責任的老師。[例]在一年的導師任內，他和班上同學建立了深厚的情誼。,導師,指導學生研究學術，並承擔訓育責任的老師。,"A mentor or advisor, typically a teacher responsible for guiding students in their academic research and providing instruction.",導師除了教授知識外，還會關心學生的心理健康。 / 每位導師都希望看到自己的學生能夠獨立思考和解決問題。 / 在課堂上，我的導師經常使用實際案例來幫助學生理解複雜的理論。 / 在畢業典禮上，導師們常常回顧與學生們共同度過的美好時光。 / 在實習期間，公司的導師給了我很多寶貴的建議，讓我更快適應了工作環境。 / 我的導師經常鼓勵我們參加各種比賽，讓我們能展現自己的能力。,n,導師的角色 / 導師的建議 / 導師的任務 / 與導師交流 / 請教導師 / 導師的引導,訓育
537,獲得、取得。[例]駕照一到手，他就開著車到處去兜風了。,到手,獲得或取得某物，通常指手上有了某樣東西。,To obtain or acquire.,這次的實習機會到手後，她決定好好表現，爭取將來能夠留在公司工作。 / 證書到手後，他感到自己更有信心與外國朋友交流。 / 這幾天的努力工作後，計畫獎金終於到手，讓他感到這一切都是值得的。 / 經過一年的準備，他的資格證書終於到手，讓他能夠在職業生涯中更進一步。 / 簽名版的書籍終於到手，他迫不及待地想要與朋友分享這個特別的收藏。 / 經過幾個月的等待，他終於把想要的遊戲到手了，興奮得整個晚上都在玩。,vp-t,證照到手 / 工作到手 / 機會到手 / 獎金到手 / 資格到手 / 書籍到手,證照
538,傾倒、塌下來。[例]大地震後，災區到處可見倒塌房屋的慘狀。,倒塌,物體因為某種原因而跌倒或塌下來。,To collapse or fall down; refers to the act of toppling or caving in.,地震過後，倒塌的橋樑嚴重影響了救援工作 / 在施工期間，工地上發生了意外的倒塌事故，導致幾名工人受傷 / 這幾天的豪雨讓多處山坡出現倒塌，影響了交通安全 / 因為長期未維護，這棟樓房最終在一夜之間倒塌了 / 在社區中，居民們對倒塌的公園設施表示擔憂，希望能夠盡快修復 / 孩子們在公園裡玩耍時，因為風勢太大，倒塌的秋千嚇到了他們。,va-i,倒塌的房屋 / 倒塌的橋 / 樓房倒塌 / 出現倒塌 / 大規模的倒塌 / 倒塌的樹木,"交通安全, 樓房, 豪雨, 勢, 期"
539,結果、到後來。[例]我們這麼熱心的幫他，到頭來卻落入進退兩難的窘境。,到頭來,結果，最終。,In the end; as a result; ultimately; after all considerations have been made.,我們這麼努力地準備比賽，結果到頭來卻因為天氣原因被取消了。 / 她花了很多時間學習這門課程，沒想到到頭來成績還是不理想。 / 我們以為這個計畫會順利執行，沒想到到頭來遇到了許多意想不到的困難。 / 他為了省錢而不找專業人士修理車子，結果到頭來花了更多的錢。 / 他一直堅持自己的觀點，結果到頭來卻失去了朋友的信任。 / 他們計畫了一個大派對，結果到頭來只有幾個人來參加。,idiom,到頭來卻 / 到頭來發現 / 到頭來造成 / 到頭來變得 / 到頭來使得 / 到頭來似乎,省錢
540,引導趨向。[例]輔導老師致力於將誤入歧途的學生導向正途。,導向,引導某人或某事朝特定方向前進。,To guide or direct towards a specific outcome or tendency.,,va-t,導向成功 / 導向目標 / 導向和平 / 導向幸福 / 導向創新 / 導向學習,
541,開導指引。[例]因為朋友的導引，他漸漸對攝影發生興趣。,導引,帶領和指示他人，使其朝向某個方向或目標前進。,To guide and instruct.,要是人缺乏智慧的導引，所做出的選擇經常會感到遺憾後悔。 / 所謂投射，往往是人受到主觀情感的導引，把投射對象或事物理想化。 / 自我導引對於個人成長非常重要，只有主動探索，才能找到自己的方向。 / 透過商業諮詢專家的導引，這個專案的進行更加順利，團隊成員都感到受益良多。 / 在運動訓練中，教練的導引幫助運動員突破了自己的極限。 / 在旅行中，導引手會帶領我們參觀城市的著名景點，讓我們更了解當地的文化。,va-t/N,太極導引 / 能量導引 / 缺乏導引 / 智慧的導引 / 情感的導引 / 學習導引,"朝向, 化, 良多"
542,四周被水圍繞的小面積陸地。[例]時至今日，地球上仍有許多尚未開發的無人島嶼。,島嶼,四周被水圍繞的小面積陸地。,A small landmass surrounded by water.,這裡有很多美麗的島嶼，是潛水愛好者的好地方。 / 台灣的離島島嶼各有特色，吸引了許多遊客前來探索。 / 島嶼的生態系統非常脆弱，我們應該保護這些自然寶藏。 / 沒有人知道在那片無人島嶼上，是否隱藏著什麼未知的秘密。 / 每年的夏天，許多人選擇到島嶼度假，享受陽光與沙灘。 / 我在地圖上看到一個小島嶼，決定下個假期去那裡露營。,n,島嶼的生態 / 美麗的島嶼 / 寧靜的島嶼 / 在島嶼上 / 無人島嶼 / 神秘島嶼,"離島, 遊客"
543,促成、引起。[例]他們夫妻倆因長期溝通不良而導致分手。,導致,促成或引起某種結果或情況。,"To lead to, cause, or result in; often used to indicate that one thing is the result of another.",長期的環境污染導致了生態系統的嚴重破壞。 / 由於缺乏有效的管理，這家公司面臨財務危機，最終導致倒閉。 / 在組織中，由於溝通管道的不足或是組織目標不明確，都將導致衝突的情況不斷發生 / 這個政策的實施導致了社會各界的廣泛討論和爭議。 / 他們的合作溝通不順利，最終導致了專案進度的嚴重延遲。 / 這場持續的降雨導致了山區的泥石流發生。,vp-t,導致問題 / 導致困難 / 導致後果 / 導致失敗 / 導致衝突 / 導致改變,"泥石, 降雨, 期"
544,很能幹的、受重用的。[例]得力助手、得力幹部,得力,很能幹，受重用。,Capable and competent; well-regarded and valued for one's abilities.,與其擔心被人工智慧取代，不如思考如何善用人工智慧，讓它成為得力助手。 / 設計團隊這位得力成員，總是能提出創新的點子，提升產品的競爭力。 / 我們的得力顧問幫助我們制定了完善的市場策略，大大提升了業績。 / 這名將軍派了他最得力的手下去攻打敵人。 / 在這場比賽中，得力的教練不斷激勵選手，使他們發揮出最佳水平。 / 這家公司的得力員工總是能在壓力下保持冷靜，完成任務。,vs-adj,得力助手 / 得力的幹部 / 得力的手下 / 得力的團隊 / 得力顧問 / 得力伙伴,善用
544,得到助力。[例]他之所以有今日偉大的成就，完全得力於家人對他的支持。,得力,得到幫助或支持，使得事情進行得更順利。,To receive assistance or support.,很多人之所以能成功，得力於身邊支持他們的朋友。 / 他在工作上能有如此出色的表現，得力於前輩的指導。 / 我們的研究進展迅速，得力於新技術的引入和應用。 / 運動員在比賽中表現優異，得力於平時刻苦的訓練。 / 這部電影的熱映，得力於優秀的劇本和演員的精彩表現。 / 這次旅行的計劃非常順利，得力於旅行社的專業安排和建議。,vp-t,得力於 / 完全得力於 / 基本上得力於 / 主要得力於 / 得力於貴人 / 得力助手,"引入, 映"
545,利弊，好處與壞處。[例]利弊得失,得失,利與弊，或好處與壞處。,The advantages and disadvantages; the benefits and losses.,在做任何決定之前，我們都需要仔細評估得失。 / 無論是財務投資還是時間管理，都要考慮得失的平衡。 / 學習新技能的過程中，得失並不是絕對的，有時候失敗也是寶貴的經驗。 / 回顧過去的決策，我發現每一次的得失都讓我更加成長與成熟。 / 在追求夢想的路上，得失是不可避免的，但堅持才是通向成功的關鍵。 / 在運動比賽中，選手們都會思考自己的得失，這樣能幫助他們進一步提升表現。,n,選擇的得失 / 長期的得失 / 評估得失 / 反思得失 / 利益的得失 / 生活的得失,"弊, 期"
